68845627 [tio-60] INFO  c.m.b.s.c.BlockClientAioListener - 连接关闭：server地址为-192.168.1.103:6789
68846682 [tio-60] INFO  org.tio.core.CloseRunnable - org.tio.client.ClientGroupContext@1c628f6a, 0:0:0:0:0:0:0:0:49333 准备关闭连接, isNeedRemove:false, 读数据时发生异常
68845627 [tio-59] INFO  org.tio.core.CloseRunnable - org.tio.server.ServerGroupContext@785996d, 192.168.1.103:49333 准备关闭连接, isNeedRemove:true, 读数据时发生异常
68846870 [tio-60] INFO  org.tio.core.ChannelContext - 关闭前0:0:0:0:0:0:0:0:49333, 关闭后$UNKNOWN:2
68846959 [tio-59] INFO  org.tio.core.ChannelContext - 关闭前192.168.1.103:49333, 关闭后$UNKNOWN:3
68851973 [tio-group-144] INFO  o.t.c.ConnectionCompletionHandler - connected to 192.168.1.103:6789
68851973 [tio-group-143] INFO  c.m.b.s.s.BlockServerAioListener - onAfterConnected channelContext:192.168.1.103:49588, isConnected:true, isReconnect:false
68851974 [tio-client-reconn-2] INFO  org.tio.client.AioClient - 0:0:0:0:0:0:0:0:49588,重连耗时:0 ms
68851976 [tio-group-144] INFO  c.m.b.socket.client.ClientStarter - 连接192.168.1.103:6789成功
68867893 [pool-2-thread-1] INFO  c.m.b.socket.client.ClientStarter - ---------开始心跳包--------
68867893 [pool-2-thread-1] INFO  c.m.b.socket.client.ClientStarter - ---------开始心跳包--------
68867893 [pool-2-thread-1] INFO  c.m.b.socket.client.ClientStarter - ---------开始心跳包--------
68867894 [pool-2-thread-1] INFO  c.m.b.socket.client.ClientStarter - ---------开始心跳包--------
68867895 [tio-group-145] INFO  c.m.b.s.s.BlockServerAioListener - onAfterReceived channelContext:{}, packet:{}, packetSize:{}
68867895 [pool-2-thread-1] INFO  c.m.b.socket.client.ClientStarter - ---------开始心跳包--------
